,final,open,max,min,trade_amt,change,year,month,day,name
1443,-1.5661601516236512,-1.4685901221629472,-1.555524479651007,-1.5418505644996863,-0.4844053509461544,-0.6494449807648317,2021,4,15,002475
1444,-1.589232053753661,-1.5520469635753968,-1.6366036959501404,-1.5814350486749673,-0.9687159576569807,-0.19842557978771275,2021,4,16,002475
1445,-1.1909381643513788,-1.5605135996607178,-1.2765165882686946,-1.4861848836281972,3.571340102116879,3.1143436823188724,2021,4,19,002475
1446,-1.3487985473461863,-1.206124403517998,-1.3087098065051148,-1.252389023967944,1.1327049178361737,-1.1481072762113649,2021,4,20,002475
1447,-1.2382962792498209,-1.4649615638406666,-1.3122868307536062,-1.4033048698862025,0.9720061665565527,0.8020752040699808,2021,4,21,002475
1448,-1.0925790026392306,-1.1783054563805155,-1.0368559636197852,-1.242492902924124,3.059508252568795,1.037113483452423,2021,4,22,002475
1449,-1.090150381362387,-1.1396008342761912,-1.1095887900057726,-1.09405108726682,1.000160081642943,-0.0015016159808016718,2021,4,23,002475
1450,-1.218867309035076,-1.198867286873438,-1.1799369335594323,-1.193012297705023,1.0441308029576424,-0.9162451897935501,2021,4,26,002475
1451,-0.9675050068818064,-1.22305767568864,-1.0595104505268957,-1.2313597667498268,1.4525207397725848,1.7930474090337916,2021,4,27,002475
1452,-1.1132222834923968,-1.0210679290816986,-1.0964730344279716,-1.0284892853515117,0.8252262047578437,-1.011530978732378,2021,4,28,002475
1453,-1.172723504775055,-1.1033152510533877,-1.152513080987667,-1.0903400418753884,-0.4360059238875284,-0.43664005213478274,2021,4,29,002475
1454,-1.1423657388145154,-1.1383913148354314,-1.2073607861311986,-1.1027101931801628,-0.7248208056164536,0.19859854079073708,2021,4,30,002475
1455,-1.218867309035076,-1.1686293008544346,-1.152513080987667,-1.1546648286602192,-0.727351494612983,-0.5573353847906314,2021,5,6,002475
1456,-1.416799943097795,-1.1867720924658365,-1.2395540043676188,-1.336506052840416,-0.14845638665686764,-1.4434932219217316,2021,5,7,002475
1457,-1.4386575345893835,-1.4093236695657012,-1.44463672794778,-1.4305192027567089,-0.41829110091182187,-0.18254461496457478,2021,5,10,002475
1458,-1.4410861558662271,-1.4456092527885047,-1.516177212917604,-1.455259505366259,-0.67041099219107,-0.036439738591705254,2021,5,11,002475
1459,-1.541873938855219,-1.443190213906984,-1.5364470169923876,-1.50474011058536,-0.3110531546838858,-0.7828450852791909,2021,5,12,002475
1460,-1.6280899941831521,-1.6088943772911228,-1.6401807201986318,-1.550509670413029,-0.6084091117760981,-0.687559296340363,2021,5,13,002475
1461,-1.5661601516236512,-1.6040562995280825,-1.6449500858632866,-1.6593670018950515,-0.1418133280409781,0.4749273287133381,2021,5,14,002475
1462,-1.4070854579904224,-1.549627924693876,-1.386211998555758,-1.4688666718015118,0.6116993206756701,1.2245088683654515,2021,5,17,002475
1463,-1.405871147352001,-1.4165807862102613,-1.4482137521962715,-1.4020678547557253,-0.4708028975898088,-0.00785400191005687,2021,5,18,002475
1464,-1.289297326063528,-1.427466461177103,-1.3254025863314072,-1.3896977034509497,0.2140648120959779,0.8592466774332774,2021,5,19,002475
1465,-1.266225423933518,-1.3016764393380493,-1.3158638550020976,-1.2499149937069896,-0.6039804060321716,0.15095564632132305,2021,5,20,002475
1466,-1.4228714962899034,-1.254505181148404,-1.2824782953495129,-1.3451651587537587,-0.33509470015091597,-1.1576358551052475,2021,5,21,002475
1467,-1.1617947090292613,-1.4202093445325419,-1.2300152730383092,-1.371142476493787,1.468337546000894,1.9518570572651714,2021,5,24,002475
1468,-0.798715828141205,-1.1359722759539106,-0.8723128481891901,-1.09405108726682,3.875022781700415,2.5648622994382984,2021,5,25,002475
1469,-0.880074640915452,-0.7646498076405501,-0.8329655814557873,-0.8330408947360615,1.241840880811507,-0.5509829988613762,2021,5,26,002475
1470,-0.7853584111185676,-0.8626208823421211,-0.8365426057042786,-0.7984044710826914,0.5791166998453532,0.6146798191569525,2021,5,27,002475
1471,-0.8582170494238633,-0.7743259631666318,-0.8544277269467343,-0.8181967131703315,0.17642081327260212,-0.4938115254980795,2021,5,28,002475
1472,-0.8946463685765107,-0.8323828963231178,-0.9390839674943593,-0.8602552276065679,-0.14782371440773556,-0.2587732461156371,2021,5,31,002475
1473,-0.8691458451696572,-0.8904398294796038,-0.8532353855305709,-0.8701513486503879,0.07930562303078362,0.15413183928595067,2021,6,1,002475
1474,-0.9772194919891789,-0.8541542462568001,-0.9438533331590141,-0.9084988176951907,-0.4600474693545583,-0.7383783837744046,2021,6,2,002475
1475,-0.9517189685823254,-0.9702681125697729,-0.9259682119165583,-0.8986026966513707,-0.38412679945867434,0.15730803225057827,2021,6,3,002475
1476,-0.973576560073914,-0.9968775402664957,-1.0297019151228024,-0.9876677860457527,-0.6454204383503416,-0.16666365014143678,2021,6,4,002475
1477,-0.8436453217628036,-0.9497062820768505,-0.9152371391710843,-0.855307167084657,0.19666632524483785,0.8687752563271604,2021,6,7,002475
1478,-0.7428575387738118,-0.8372209740861581,-0.7375782681626883,-0.7600570020378877,1.5834838953429846,0.6527941347324836,2021,6,8,002475
1479,-0.6639273472764085,-0.7029643161617836,-0.744732316659671,-0.6994432606444886,0.31402702745889177,0.4939844865011037,2021,6,9,002475
1480,-0.7270715004743307,-0.6642596940574593,-0.7411552924111797,-0.6759399731654158,-0.1978048220891925,-0.4207590873116447,2021,6,10,002475
1481,-0.8946463685765107,-0.7392498993845872,-0.8305808986234594,-0.8602552276065679,0.29567953223405313,-1.1036405747065783,2021,6,11,002475
1482,-0.7962872068643615,-0.8819731933942828,-0.8735051896053536,-0.8120116375179441,-0.3233902635419669,0.6432655558386008,2021,6,15,002475
1483,-1.0318634707181509,-0.7646498076405501,-0.8496583612820795,-0.9530313623923826,-0.1974884859646266,-1.5641885545775802,2021,6,16,002475
1484,-0.8557884281470197,-1.0210679290816986,-0.9319299189973766,-0.9480833018704717,-0.182620688110016,1.1990993246484305,2021,6,17,002475
1485,-0.80235876005647,-0.8335924157638777,-0.8711205067730267,-0.7872713349083932,-0.384759471707807,0.3383510312343514,2021,6,18,002475
1486,-0.518210070665817,-0.8142401047117159,-0.5980743224715326,-0.7526349112550222,1.8359201227467994,1.8533950753617157,2021,6,21,002475
1487,-0.5497821472647783,-0.4997650501140814,-0.5766121769805855,-0.5237871121166792,-0.09942428734910955,-0.21430654461085075,2021,6,22,002475
1488,-0.2814194961736072,-0.5457267888629668,-0.30237365126292715,-0.5114169608119046,1.69989558918334,1.6596473045194324,2021,6,23,002475
1489,-0.06405789189614149,-0.1949661510425277,-0.09729092768276575,-0.08588375592763382,2.1310617269670478,1.272151762834865,2021,6,24,002475
1490,0.0780164527991841,-0.0546618959143528,0.3295672993038493,-0.04877330201330829,2.9117792823963877,0.7925466251760979,2021,6,25,002475
